Original,Traduzido
Repetitive strain injury,Lesão repetitiva de tensão
Reproductive system haemorrhages,Hemorragias do sistema reprodutivo
Reproductive toxicity,Toxicidade reprodutiva
Reproductive tract disorder,Transtorno do trato reprodutivo
Residual urine volume,Volume de urina residual
Respiration abnormal,Respiração anormal
Respiration irregularity,Irregularidade da respiração
Respiratory acidosis,Acidose respiratória
Respiratory alkalosis,Alcalose respiratória
Respiratory arrest,Parada respiratória
Respiratory depression,Depressão respiratória
Respiratory depth increased,A profundidade respiratória aumentou
Respiratory disorder,Transtorno respiratório
Respiratory disorder neonatal,Transtorno respiratório neonatal
Respiratory disorders NEC,Distúrbios respiratórios NEC
Respiratory distress,Sofrimento respiratório
Respiratory distress syndrome,Síndrome do desconforto respiratório
Respiratory failure,Insuficiência respiratória
Respiratory failure aggravated,Insuficiência respiratória agravada
Respiratory insufficiency,Insuficiência respiratória
Respiratory moniliasis,Monilíase respiratória
Respiratory paralysis,Paralisia respiratória
Respiratory rate decreased,A frequência respiratória diminuiu
Respiratory sighs,Suspiros respiratórios
Respiratory sounds decreased,Os sons respiratórios diminuíram
Respiratory syncytial virus infection,Infecção por vírus sincicial respiratório
Respiratory tract congestion,Congestão do trato respiratório
Respiratory tract haemorrhage,Hemorragia do trato respiratório
Respiratory tract infection,Infecção do trato respiratório
Respiratory tract infection viral,Infecção do trato respiratório viral
Respiratory tract oedema,Edema do trato respiratório
Restless legs syndrome,Síndrome das pernas inquietas
Restlessness aggravated,Inquietação agravada
Restrictive cardiomyopathy,Cardiomiopatia restritiva
Retained placenta,Placenta retida
Retained placenta or membranes,Placenta ou membranas retidas
Retching,Vocando
Retching reflex decreased,O reflexo de vantagem diminuiu
Reticulocytopenia,Reticulocitopenia
Reticulocytosis,Reticulocitose
Reticuloendothelial system stimulated,O sistema reticuloendotelial estimulou
Reticuloendotheliosis,Reticuloendoteliose
Retinal aneurysm,Aneurisma da retina
Retinal artery occlusion,Oclusão da artéria da retina
Retinal atrophy,Atrofia da retina
Retinal damage,Dano da retina
Retinal degeneration,Degeneração da retina
Retinal depigmentation,Despigmentação da retina
Retinal deposits,Depósitos de retina
Retinal detachment,Destacamento da retina
Retinal disorder,Transtorno da retina
Retinal exudates,Exsudatos da retina
Retinal haemorrhage,Hemorragia da retina
Retinal injury,Lesão da retina
Retinal ischaemia,Isquemia retiniana
Retinal oedema,Edema da retina
Retinal pigment epithelial tear,Lágrima epitelial de pigmentos da retina
Retinal pigmentation,Pigmentação da retina
Retinal scar,Cicatriz da retina
Retinal tear,Rasgo da retina
Retinal toxicity,Toxicidade da retina
Retinal vascular disorder,Transtorno vascular da retina
Retinal vascular occlusion,Oclusão vascular da retina
Retinal vascular thrombosis,Trombose vascular da retina
Retinal vein occlusion,Oclusão da veia da retina
Retinal vein thrombosis,Trombose da veia da retina
Retinitis,Retinite
Retinogram abnormal,Retinograma anormal
Retinoic acid syndrome,Síndrome do ácido retinóico
Retinopathy of prematurity,Retinopatia da prematuridade
Retinopathy proliferative,Proliferativa da retinopatia
Retrograde amnesia,Amnésia retrógrada
Retrograde ejaculation,Ejaculação retrógrada
Retroperitoneal fibrosis,Fibrose retroperitoneal
Retroperitoneal haematoma,Hematoma retroperitoneal
Retroperitoneal haemorrhage,Hemorragia retroperitoneal
Retrosternal discomfort,Desconforto retrosternal
Retrosternal pain,Dor retrosternal
Reversible cerebral vasoconstriction syndrome,Síndrome de vasoconstrição cerebral reversível
Reversible ischaemic neurological deficit,Déficit neurológico isquêmico reversível
Reye's syndrome,Síndrome de Reye
Rhabdomyolysis,Rabdomiólise
Rheumatic disorder,Transtorno reumático
Rheumatism,Reumatismo
Rheumatoid arthritis,Artrite reumatoide
Rheumatoid arthritis aggravated,Artrite reumatóide agravada
Rhinalgia,Rhinalgia
Rhinitis,Rinite
Rhinitis allergic,Rinite alérgica
Rhinitis atrophic,Rinite atrófica
Rhinitis perennial,Rinite perene
Rhinitis seasonal,Rinite sazonal
Rhinitis ulcerative,Rinite ulcerativa
Rhinorrhoea,Rinorreia
Rhonchi,Rhonchi
Rhythm idioventricular,Ritmo idioventricular
Rib fracture,Fratura de costela
Rib pain,Dor nas costelas
Rickets,Raquitismo
Right upper quadrant pain,Dor no quadrante superior direito
Right ventricular failure,Falha do ventrículo direito
Rigors,Rigors
Risus sardonicus,Risus sardonicus
Road traffic accident,Acidente de trânsito
Rosacea,Rosácea
Rotator cuff syndrome,Síndrome do manguito rotador
Rubber sensitivity,Sensibilidade de borracha
ST segment elevation myocardial infarction,Infarto do miocárdio de elevação do segmento ST
Sacroiliitis,Sacroiliite
Saliva altered,Saliva alterada
Salivary duct obstruction,Obstrução do duto salivar
Salivary gland conditions,Condições da glândula salivar
Salivary gland disorder,Transtorno da glândula salivar
Salivary gland enlargement,Aumentação da glândula salivar
Salivary gland pain,Dor da glândula salivar
Salivary gland swelling,Inchaço da glândula salivar
Salivary hypersecretion,Hipersecreção salivar
Salivation,Salivação
Salmonella sepsis,Sepse de Salmonella
Salmonellosis,Salmonelose
Salpingitis,Salpingite
Sarcoidosis,Sarcoidose
Sarcoma,Sarcoma
Sarcoma uterus,Sarcoma Uterus
Scab,Crosta
Scald,Escaldagem
Scar,Cicatriz
Scar pain,Dor de cicatriz
Schizoaffective disorder,Transtorno esquizoafetivo
Schizophrenia,Esquizofrenia
Schizophrenic reaction,Reação esquizofrênica
Schizophreniform disorder,Transtorno esquizofreniforme
Sciatica,Ciática
Scintillating scotoma,Scotoma cintilante
Scleral discolouration,Descoloração escleral
Scleral disorder,Transtorno escleral
Scleral haemorrhage,Hemorragia escleral
Scleral hyperaemia,Hiperemia escleral
Scleral icterus,Icterus escleral
Scleral pigmentation,Pigmentação escleral
Scleral thinning,Afinamento escleral
Scleritis,Esclerite
Scleroderma,Scleroderma
Scleromalacia,Scleromalacia
Sclerosing encapsulating peritonitis,Esclerosante encapsulando a peritonite
Scoliosis,Escoliose
Scotoma,Scotoma
Scotoma annular,Scotoma anular
Scotoma of blind spot area,Scotoma da área de ponto cego
Scratch,Arranhar
Screaming,Gritando
Scrotal disorder,Transtorno escrotal
Scrotal erythema,Eritema escrotal
Scrotal oedema,Edema escrotal
Scrotal pain,Dor escrotal
Scrotal swelling,Inchaço escrotal
Scrotal ulcer,Úlcera escrotal
Seasonal allergy,Alergia sazonal
Sebaceous gland disorder,Transtorno da glândula sebácea
Sebaceous hyperplasia,Hiperplasia sebácea
Seborrhoeic dermatitis,Dermatite seborróia
Seborrhoeic keratosis,Ceratose seborróia
Secondary adrenal insufficiency,Insuficiência adrenal secundária
Secondary adrenocortical insufficiency,Insuficiência adrenocortical secundária
Secondary anemia,Anemia secundária
Secondary hypertension,Hipertensão secundária
Secondary hypogonadism,Hipogonadismo secundário
Secondary infection,Infecção secundária
Secondary parkinsonism,Parkinsonismo secundário
Secondary syphilis,Sífilis secundária
Sedation,Sedação
Seizure cerebral,Crisme cerebral
Self injurious behaviour,Comportamento auto -prejudicial
Self mutilation,Auto -mutilação
Self-injurious ideation,Ideação auto-prejudicial
Semen abnormal,Sêmen anormal
Semen analysis abnormal,Análise de sêmen anormal
Semen volume decreased,O volume de sêmen diminuiu
Senile ankylosing vertebral hyperostosis,Hiperostose vertebral anquilosante senil
Sensation of blood flow,Sensação de fluxo sanguíneo
Sensation of foreign body,Sensação de corpo estranho
Sensation of heat,Sensação de calor
Sensation of heaviness,Sensação de peso
Sensation of pressure,Sensação de pressão
Sensation of warmth,Sensação de calor
Sense of oppression,Senso de opressão
Sensitisation,Sensibilização
Sensitivity of teeth,Sensibilidade dos dentes
Sensorimotor disorder,Transtorno sensório -motor
Sensory ataxia,Ataxia sensorial
Sensory disturbance,Perturbação sensorial
Sensory loss,Perda sensorial
Separation,Separação
Sepsis,Sepse
Sepsis neonatal,Sepse Neonatal
Sepsis secondary,Sepse secundária
Septic arthritis streptobacillus,Artrite séptica Streptobacillus
Septic shock,Choque séptico
Septicemia,Septicemia
Seroma,Seroma
Serositis,Serosite
Serotonin syndrome,Síndrome da serotonina
Serous retinal detachment,Destacamento de retina serosa
Serum albumin decreased,A albumina de soro diminuiu
Serum amylase increased,A amilase sérica aumentou
Serum bicarbonate increased,O bicarbonato sérico aumentou
Serum bilirubin increased,A bilirrubina sérica aumentou
Serum calcium decreased,O cálcio sérico diminuiu
Serum calcium increased,O cálcio sérico aumentou
Serum creatinine abnormal,Creatinina sérica anormal
Serum creatinine decreased,A creatinina sérica diminuiu
Serum creatinine increased,A creatinina sérica aumentou
Serum ferritin decreased,A ferritina sérica diminuiu
Serum ferritin increased,A ferritina sérica aumentou
Serum gastrin increased,A gastrina sérica aumentou
Serum iron decreased,O ferro sérico diminuiu
Serum iron increased,O ferro sérico aumentou
Serum osmolality increased,A osmolalidade sérica aumentou
Serum phosphate increased,O fosfato sérico aumentou
Serum potassium abnormal,Potássio sérico anormal
Serum potassium decreased,O potássio sérico diminuiu
Serum potassium increased,O potássio sérico aumentou
Serum prolactin decreased,A prolactina sérica diminuiu
Serum prolactin increased,A prolactina sérica aumentou
Serum sickness,Doença sérica
Serum sickness-like reaction,Reação do tipo sérico
Serum sodium abnormal,Sérico de sódio anormal
Serum testosterone decreased,A testosterona sérica diminuiu
Serum testosterone increased,A testosterona sérica aumentou
Serum total protein decreased,A proteína total sérica diminuiu
Serum transaminase increased,A transaminase sérica aumentou
Serum triglycerides increased,Os triglicerídeos séricos aumentaram
Serum urea increased,A uréia sérica aumentou
Severe acute respiratory syndrome,Síndrome respiratória aguda grave
Sexual desire disorders,Distúrbios do desejo sexual
Sexual dysfunction,Disfunção sexual
Sexually active,Sexualmente ativo
Sexually transmitted disease,Doença sexualmente transmissível
Shakiness,Instável
Shallow breathing,Respiração superficial
Shift to the left,Mudar para a esquerda
Shivering,Tremendo
Shock,Choque
Shock haemorrhagic,Choque hemorrágico
Shock hypoglycaemic,Hipoglicêmico de choque
Shock insulin,Insulina de choque
Short period,Curto período
Short-term memory loss,Perda de memória de curto prazo
Shortened cervix,Colo do útero
Shoulder pain,Dor no ombro
Shunt thrombosis,Trombose de derivação
Shutdown renal,Desligamento renal
Sialoadenitis,Sialoadenite
Sick sinus syndrome,Síndrome do seio doente
Sickle cell anaemia,Anemia das células falciformes
Sickle cell anaemia with crisis,Anemia falciforme com crise
Sickness,Doença
Sideroblastic anaemia,Anemia sideroblástica
Single umbilical artery,Artéria umbilical única
Sinoatrial block,Bloco Sinoatrial
Sinoatrial node dysfunction,Disfunção do nó sinoatrial
Sinobronchitis,Sinobronquite
Sinus arrest,Prisão sinusal
Sinus arrhythmia,Arritmia sinusal
Sinus bradycardia,Bradicardia sinusal
Sinus congestion,Congestão sinusal
Sinus disorder,Transtorno do seio
Sinus headache,Dor de cabeça sinusal
Sinus operation,Operação sinusal
Sinus pain,Dor no seio
Sinus rhythm,Ritmo sinusal
Sinus tachycardia,Taquicardia sinusal
Sinusitis,Sinusite
Sinusitis bacterial,Sinusite bacteriana
Sjogren's syndrome,Síndrome de Sjogren
Skeletal injury,Lesão esquelética
Skeletal muscle paralysis,Paralisia do músculo esquelético
Skin atrophy,Atrofia da pele
Skin bacterial infection,Infecção bacteriana da pele
Skin bleeding,Sangramento da pele
Skin breakdown,Quebra de pele
Skin burning sensation,Sensação de queima da pele
Skin cancer,Câncer de pele
Skin candida,Skin Candida
Skin carcinoma,Carcinoma da pele
Skin cold clammy,Pequena pecapilosa da pele
Skin depigmentation,Despigmentação da pele
Skin discolouration,Descoloração da pele
Skin discomfort,Desconforto da pele
Skin disorder,Transtorno da pele
Skin erosion,Erosão da pele
Skin exfoliation,Esfoliação da pele
Skin fibrosis,Fibrose da pele
Skin fissures,Fissuras da pele
Skin fragility,Fragilidade da pele
Skin haemorrhage,Hemorragia da pele
Skin hyperpigmentation,Hiperpigmentação da pele
Skin hypertrophy,Hipertrofia da pele
Skin induration,Induração da pele
Skin infection,Infecção na pele
Skin irritation,Irritação na pele
Skin laceration,Laceração da pele
Skin lesion,Lesão da pele
Skin maceration,Maceração da pele
Skin mass,Massa de pele
Skin necrosis,Necrose da pele
Skin nodule,Nódulo de pele
Skin odour abnormal,Odor de pele anormal
Skin oedema,Edema de pele
Skin papilloma,Papiloma da pele
Skin reaction,Reação da pele
Skin scaly,Pele escamosa
Skin sensitisation,Sensibilização da pele
Skin striae,Estrias de pele
Skin swelling,Inchaço da pele
Skin tear,Rasgo de pele
Skin tenderness,Ternura da pele
Skin thickening,Espessamento da pele
Skin thinness,Magreza da pele
Skin tightness,Tensão na pele
Skin toxicity,Toxicidade da pele
Skin ulcer,Úlcera de pele
Skin warm,Pele quente
Skin wrinkling,Enruga da pele
Skin xerosis,Xerose da pele
Skipped beats,Saltados
Skull hypoplasia,Hipoplasia do crânio
Skull malformation,Malformação do crânio
Sleep apnoea syndrome,Síndrome da apneia do sono
Sleep attacks,Ataques de sono
Sleep disorder,Transtorno do sono
Sleep disturbance,Perturbação do sono
Sleep paralysis,Paralisia do sono
Sleep phase rhythm disturbance,Distúrbio do ritmo da fase do sono
Sleep talking,Sono conversando
Sleep terror,Terror de sono
Slipped femoral capital epiphysis,Epífise da capital femoral escorregada
Slough injection site,Local de injeção de Slough
Slow speech,Discurso lento
Sluggishness,Lentidão
Slurred speech,Discurso arrastado
Small bowel angioedema,Angioedema do intestino delgado
Small cell lung cancer,Câncer de pulmão de pequenas células
Small intestinal obstruction,Obstrução intestinal pequena
Small intestinal perforation,Perfuração intestinal pequena
Small intestine ulcer,Úlcera do intestino delgado
Smarting,Smarting
Smear cervix abnormal,Mancha de colo do útero anormal
Smear cervix normal,Mancha de colo do útero normal
Sneezing,Espirrando
Sneezing excessive,Espirrando excessivo
Snoring,Ronco
Social avoidant behaviour,Comportamento evitador social
Sodium decreased,O sódio diminuiu
Sodium high,Sódio alto
Soft stools,Bancos macios
Soft tissue disorder,Transtorno de tecidos moles
Soft tissue infection,Infecção por tecidos moles
Soft tissue inflammation,Inflamação de tecidos moles
Soft tissue injury,Lesão por tecidos moles
Soft tissue necrosis,Necrose de tecido mole
Solar dermatitis,Dermatite solar
Solar lentigo,Lentigo solar
Solid tumour,Tumor sólido
Somatic hallucination,Hallucinação somática
Somatoform disorder,Transtorno somatoformado
Somnambulism,Sonambulismo
Somnolence,Sonolência
Somnolence neonatal,Sonolência neonatal
Sore eye,Olho dolorido
Sore mouth,Boca dolorida
Sore nose,Nariz dolorido
Spasm biliary,Biliar de espasmo
Spasm of accommodation,Espasmo de acomodação
Spasm of sphincter of Oddi,Espasmo de esfíncter de ímpar
Spasmodic dysphonia,Disfonia espasmódica
Spastic paralysis,Paralisia espástica
Spastic paraparesis,Paraparesia espástica
Speech and language abnormalities,Anormalidades de fala e linguagem
Speech disorder,Transtorno da fala
Speech impairment NOS,Deficiência de fala nos
Speech loss,Perda de fala
Sperm concentration,Concentração de espermatozóides
Sperm concentration decreased,A concentração de esperma diminuiu
Sperm count decreased,A contagem de espermatozóides diminuiu
Spermatocele,Espermatocele
Spermatogenesis abnormal,Espermatogênese anormal
Spermatogenesis arrest,Praga de espermatogênese
Spermatozoa abnormal,Espermatozóides anormais
Sphincter of Oddi dysfunction,Esfíncter de disfunção ímpar
Spina bifida,Espinha bífida
Spina bifida occulta,Spina Bifida Occultta
Spinal anaesthesia,Anestesia da coluna vertebral
Spinal compression fracture,Fratura de compressão da coluna vertebral
Spinal cord compression,Compressão da medula espinhal
Spinal cord disorder,Transtorno da medula espinhal
Spinal cord haemorrhage,Hemorragia da medula espinhal
Spinal cord infarction,Infarto da medula espinhal
Spinal cord injury,Lesão na medula espinhal
Spinal cord paralysis,Paralisia da medula espinhal
Spinal disorder,Transtorno da coluna vertebral
Spinal epidural haematoma,Hematoma epidural da coluna vertebral
Spinal fracture,Fratura na coluna vertebral
Spinal haematoma,Hematoma da coluna vertebral
Spinal osteoarthritis,Osteoartrite espinhal
Spine malformation,Malformação da coluna
Spleen disorder,Transtorno do baço
Spleen palpable,Palpável do baço
Splenic infarction,Infarto esplênico
Splenic peliosis,Peliose esplênica
Splenic rupture,Ruptura esplênica
Splenic sequestration,Sequestro esplênico
Splenomegaly,Esplenomegalia
Splinter haemorrhages,Hemorragias de lascas
Splitting nails,Dividindo as unhas
Spondylitis,Espondilite
Spondyloarthropathy,Espondiloartropatia
Spondylosis,Espondilose
Spontaneous bruising,Hematomas espontâneos
Spontaneous haematoma,Hematoma espontâneo
Spontaneous penile erection,Ereção pênis espontânea
Sports injury,Lesão esportiva
Spots before eyes,Manchas antes dos olhos
Spotting menstrual,Spotting menstrual
Spotting vaginal,Spoting vaginal
Sprain,Entorse
Sprue,Sprue
Sputum discoloured,Espurro descolorido
Sputum increased,O escarro aumentou
Sputum purulent,Purulento do escarro
Squamous cell carcinoma,Carcinoma de células escamosas
Squamous cell carcinoma of lung,Carcinoma de células escamosas de pulmão
Squamous cell carcinoma of skin,Carcinoma de células escamosas
Staggering gait,Marcha impressionante
Staphylococcal bacteraemia,Bacteremia estafilocócica
Staphylococcal infection,Infecção estafilocócica
Staphylococcal scalded skin syndrome,Síndrome da pele escaldada estafilocócica
Staphylococcal skin infection,Infecção da pele estafilocócica
Staphylococcus aureus bacteremia,Bacteremia de Staphylococcus aureus
Stargardt's disease,Doença de Stargardt
Staring,Olhando fixamente
Status asthmaticus,Status asmaticus
Status epilepticus,Status epilepticus
Steatorrhoea,Steatorrheea
Stent occlusion,Oclusão de stent
Stereotypy,Estereotipia
Steroid acne,Acne esteróide
Steroid myopathy,Miopatia esteróide
Steroid psychosis,Psicose esteróide
Steroid withdrawal syndrome,Síndrome de retirada de esteróides
Stevens-Johnson syndrome,Síndrome de Stevens-Johnson
Sticky skin,Pele pegajosa
Stiff back,Costas duras
Stiffness,Rigidez
Stillbirth,Natimorto
Stinging,Picada
Stinging of nose,Picada do nariz
Stinging skin,Pele ardente
Stomach ache,Dor de estômago
Stomach cramps,Cólicas estomacais
Stomach dilation procedure,Procedimento de dilatação do estômago
Stomatitis,Estomatite
Stomatitis necrotising,Estomatite necrosante
Strabismus,Estrabismo
Strangulation,Estrangulamento
Strangury,Strangury
Streptobacillary fever,Febre estretobacilar
Streptococcal infection,Infecção estreptocócica
Streptococcal sepsis,Sepse estreptocócica
Stress,Estresse
Stress at work,Estresse no trabalho
Stress fracture,Fratura por estresse
Stress symptoms,Sintomas de estresse
Stridor,Stridor
Stridor inspiratory,Stridor inspiratório
Stroke volume increased,O volume do AVC aumentou
Strongyloidiasis,Strongiloidíase
Stupor,Estupor
Stuttering,Gagueira
Subacute bacterial endocarditis,Endocardite bacteriana subaguda
Subacute endocarditis,Endocardite subaguda
Subarachnoid haemorrhage,Hemorragia subaracnóidea
Subconjunctival cyst,Cisto subconjuntival
Subconjunctival hemorrhage,Hemorragia subconjuntival
Subcutaneous abscess,Abscesso subcutâneo
Subcutaneous bleeding,Sangramento subcutâneo
Subcutaneous haematoma,Hematoma subcutâneo
Subcutaneous nodule,Nódulo subcutâneo
Subdural effusion,Efusão subdural
Subdural haematoma,Hematoma subdural
Subepithelial opacities,Opacidades subepiteliais
Subglottic edema,Edema subglótico
Subileus,Subileus
Subjective visual disturbances,Distúrbios visuais subjetivos
Subluxation hip,Hip subluxation
Submandibular mass,Massa submandibular
Substance abuse,Abuso de substâncias
Substance-induced psychotic disorder,Transtorno psicótico induzido por substâncias
Sudden cardiac death,Morte cardíaca súbita
Sudden deafness,Surdez repentina
Sudden death,Morte súbita
"Sudden death, cause unknown","Morte súbita, causa desconhecida"
Sudden hearing loss,Perda auditiva repentina
Sudden infant death syndrome,Síndrome da morte repentina do bebê
Sudden onset of sleep,Início repentino de sono
Sudden unexplained death in epilepsy,Morte repentina inexplicável em epilepsia
Sudden visual loss,Perda visual repentina
Suicidal behaviour,Comportamento suicida
Suicidal ideation,Ideação suicida
Suicidal tendency,Tendência suicida
Suicide,Suicídio
Suicide attempt,Tentativa de suicídio
Sulphaemoglobinaemia,Sulphaemoglobineemia
Sunburn,Queimaduras solares
Sunken eyes,Olhos afundados
Superficial phlebothrombosis,Flebotrombose superficial
Superficial punctate keratopathy,Ceratopatia pontual superficial
Superficial thrombophlebitis of leg,Tromboflebite superficial da perna
Superinfection,Superinfecção
Superior sagittal sinus thrombosis,Trombose sinusal sagital superior
Superior vena cava syndrome,Síndrome superior da veia cava
Supernumerary nipple,Mamilo supranumerário
Supine hypotension,Hipotensão supina
Suppressed lactation,Lactação suprimida
Suprapubic pain,Dor suprapúbica
Supraventricular extrasystoles,Extravestóis supraventriculares
Supraventricular tachyarrhythmia,Taquiarritmia supraventricular
Supraventricular tachycardia,Taquicardia supraventricular
Surgery,Cirurgia
Surgical intervention,Intervenção cirúrgica
Surgical site reaction,Reação do local cirúrgico
Suspiciousness,Suspeita
Sustained ventricular tachycardia,Taquicardia ventricular sustentada
Suture related complication,Complicação relacionada à sutura
Sweat gland disorder,Transtorno da glândula suada
Sweat gland tumour,Tumor da glândula suada
Sweating,Suando
Sweating decreased,A suor diminuiu
Sweating increased,A transpiração aumentou
Swelling,Inchaço
Swelling face,Rosto inchado
Swelling of eyelid,Inchaço da pálpebra
Swelling of knees,Inchaço de joelhos
Swelling of legs,Inchaço das pernas
Swelling of limb,Inchaço do membro
Swollen arm,Braço inchado
Swollen tongue,Língua inchada
Sympathomimetic effect,Efeito simpatomimético
Symptomatic hyperlactatemia,Hiperlactatemia sintomática
Syncope,Síncope
Syncope vasovagal,Síncope Vasovagal
Syndactyly,Sindactilia
Syndrome Fanconi-like,Síndrome de Fanconi
Syndrome screaming,Síndrome gritando
Syndrome sicca,Síndrome Sicca
Synovial cyst,Cisto sinovial
Synovitis,Sinovite
Syphilis,Sífilis
Systemic allergic reaction,Reação alérgica sistêmica
Systemic candida,Candida sistêmica
Systemic inflammatory response syndrome,Síndrome de resposta inflamatória sistêmica
Systemic lupus erythematosus,Lúpus eritematoso sistêmico
Systemic lupus erythematosus rash,Lúpus eritematoso sistêmico erupção cutânea
Systemic mycosis,Micosis sistêmicos
Systolic ejection murmur,Murmur de ejeção sistólica
Systolic hypertension,Hipertensão sistólica
Systolic murmur,Murmur sistólico
T-cell lymphoma,Linfoma de células T.
TIBC,TIBC
Tachyarrhythmia,Taquyarrithythmia
Tachycardia,Taquicardia
Tachycardia foetal,Taquicardia fetal
Tachycardia nervous,Taquicardia nervosa
Tachyphylaxis,Taquifilaxia
Tachypnoea,Taquipneia
Talipes,Talipes
Talkativeness,Falatividade
Tandem gait test abnormal,Teste de marcha em tandem anormal
Tardive dyskinesia,Diskinesia tardia
Taste altered,Gosto alterado
Taste bitter,Gosto amargo
Taste disorders,Transtornos do gosto
Taste metallic,Gosto metálico
Taste peculiar,Gosto peculiar
Taste salty,Gosto salgado
Taste sour,Gosto azedo
Taste sweet,Prove doce
Tearfulness,Chorar
Tearing eyes,Olhos rasgando
Teeth clenching,Dentes apertando
Teething,Dentição
Teething pain,Dor dentada
Telangiectasia,Telangiectasia
Telangiectasis facial,Telangiectasis Facial
Telogen effluvium,Eflúvio telógeno
Temper tantrum,Birra de temperamento
Temperature intolerance,Intolerância à temperatura
Temperature regulation disorder,Transtorno da regulação da temperatura
Temporal arteritis,Arterite temporal
Temporal disorientation,Desorientação temporal
Temporomandibular joint syndrome,Síndrome da articulação temporomandibular
Tenderness,Ternura
Tendinous contracture,Contratura tendinosa
Tendon disorder,Transtorno do tendão
Tendon injury,Lesão do tendão
Tendon pain,Dor no tendão
Tendon reflex decreased,O reflexo do tendão diminuiu
Tendon rupture,Ruptura do tendão
Tendonitis,Tendinite
Tenosynovitis,Tenossinovite
Tension,Tensão
Tension headache,Dor de cabeça de tensão
Teratogenicity,Teratogenicidade
Terminal insomnia,Insônia terminal
Testicular atrophy,Atrofia testicular
Testicular disorder,Transtorno testicular
Testicular pain,Dor testicular
Testicular swelling,Inchaço testicular
Testis cancer,Testis Cancer
Testosterone low,Testosterona baixa
Tetanus,Tétano
Tetanus-like,Tipo de tétano
Tetany,Tetany
Tetrahydrobiopterin deficiency,Deficiência de tetra -hidrobiopterina
Therapeutic response decreased,A resposta terapêutica diminuiu
Therapeutic response increased,A resposta terapêutica aumentou
Therapeutic response unexpected,Resposta terapêutica inesperada
Therapy naive,Terapia ingênua
Thermal burn,Queimadura térmica
Thinking abnormal,Pensando anormal
Thirst,Sede
Thoracic vertebral fracture,Fratura vertebral torácica
Thought blocking,Bloqueio de pensamento
Thready pulse,Pulso de rosca
Throat irritation,Irritação na garganta
Throat sore,Garganta dolorida
Throat tightness,Aperto na garganta
Throbbing headache,Dor de cabeça latejante
Thrombocytopenia,Trombocitopenia
Thrombocytopenia aggravated,Trombocitopenia agravada
Thrombocytopenia toxic,Trombocitopenia tóxica
Thrombocytopenic purpura,Purpura trombocitopênica
Thrombocytosis,Trombocitose
Thromboembolic event,Evento tromboembólico
Thromboembolic stroke,AVC tromboembólico
Thromboembolism,Tromboembolismo
Thrombophilia,Trombofilia
Thrombophlebitis,Tromboflebite
Thrombophlebitis injection site,Local de injeção de tromboflebite
Thrombophlebitis leg deep,A perna de tromboflebite profundamente
Thrombophlebitis of the leg,Tromboflebite da perna
Thrombophlebitis superficial,Trombophlebitis superficial
Thromboplastin decreased,A tromboplastina diminuiu
Thrombosis,Trombose
Thrombosis in device,Trombose no dispositivo
Thrombosis leg,Perna de trombose
Thrombosis mesenteric vessel,Vaso mesentérico da trombose
Thrombotic microangiopathy,Microangiopatia trombótica
Thrombotic thrombocytopenic purpura,Purpura trombótica trombocitopênica
Thyroglobulin increased,A tireoglobulina aumentou
Thyroid adenoma,Adenoma da tireóide
Thyroid cancer,Câncer de tireóide
Thyroid carcinoma,Carcinoma da tireóide
Thyroid disorder,Transtorno da tireóide
Thyroid function abnormal,Função da tireóide anormal
Thyroid function test abnormal,Teste de função da tireóide anormal
Thyroid neoplasm,Neoplasia da tireóide
Thyroid nodule,Nódulo da Tireóide
Thyroiditis,Tireoidite
Thyrotoxic crisis,Crise tireotóxica
Thyrotoxicosis,Tireotoxicose
Thyrotropin high,Tirotropina alta
Thyrotropin low,Tireotropina baixa
Thyroxine decreased,A tiroxina diminuiu
Thyroxine free decreased,Livre de tiroxina diminuiu
Tibial torsion,Torção tibial
Tic,Tique
Tight foreskin,Prepúcio apertado
Tightness in jaw,Aperto na mandíbula
Tinea cruris,Tinea Cruris
Tinea infection,Infecção por tinea
Tinea pedis,Tinea pedis
Tinea versicolour,Tinea versicolour
Tingling of extremity,Formigamento da extremidade
Tingling sensation,Sensação de formigamento
Tingling skin,Skin formigling
Tinnitus,Zumbido
Tinnitus aggravated,Zumbido agravado
Tired and heavy,Cansado e pesado
Tobacco poisoning,Envenenamento por tabaco
Tobacco withdrawal symptoms,Sintomas de abstinência do tabaco
Toe walking,Andando de pé
Tolerance development,Desenvolvimento de tolerância
Tongue blistering,Língua empolgante
Tongue coated,Língua revestida
Tongue discolouration,Descoloração da língua
Tongue disorder,Transtorno da língua
Tongue dry,Língua seca
Tongue geographic,Língua Geográfica
Tongue hairy,Língua peluda
Tongue irritation,Irritação na língua
Tongue neoplasm,Neoplasia da língua
Tongue neoplasm malignant stage unspecified,Língua neoplasia estágio maligno não especificado
Tongue oedema,Edema da língua
Tongue paralysis,Paralisia da língua
Tongue pigmentation,Pigmentação da língua
Tongue spasm,Espasmo da língua
Tongue ulceration,Ulceração da língua
Tonic clonic movements,Movimentos clônicos tônicos
Tonic convulsion,Convulsão tônica
Tonic-clonic seizures,Crises tônicas-clônicas
Tonsillar disorder,Transtorno de tonsilares
Tonsillar hypertrophy,Hipertrofia tonsilar
Tonsillitis,Amidalite
Tooth abscess,Abscesso de dente
Tooth caries aggravated NOS,Cárie de dente nos agravados nos
Tooth discolouration,Descoloração dos dentes
Tooth disorder,Transtorno dentário
